kod [hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,hw9,hw10] bonus%
0a2bc87 [6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 12.5
dc281e4 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
233bc67 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
031ccff [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
eeb40da [6, 6.0, 6, 4, 4, 5, 5, 5, 5, 0] 87.5
8440e9a [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
fd66a07 [0, 4.5, 6, 6, 5, 6, 5, 5, 6, 0] 90.625
9a8ec55 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
a7add6e [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
82adc11 [4, 3.0, 6, 5, 0, 5, 0, 0, 0, 0] 47.916666666666664
1b75d6c [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
b7905b6 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
51cdda5 [6, 4.5, 6, 5, 0, 5, 5, 6, 0, 0] 78.125
63c75fe [6, 0.0, 6, 6, 6, 5, 6, 5, 4, 0] 91.66666666666667
2167271 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
24b19d6 [5, 6.0, 6, 6, 4, 5, 0, 6, 6, 0] 91.66666666666667
a91d14b [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
6091bd4 [6, 3.0, 0, 0, 0, 0, 0, 0, 0, 0] 18.75
7ae368d [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
ed27351 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
ecea1ec [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
6589653 [6, 6.0, 6, 0, 6, 0, 0, 6, 0, 0] 62.5
02eb5c9 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
8a8de59 [0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0] 0.0
